A & M Institute Of Mgt. & Tech ,,Punjab   
District Institute Of Education & Training,, Arunachal Pradesh  
District Institute Of Education & Training,, Assam  
District Institute Of Education & Training,, Bihar  
District Institute Of Education & Training,, Delhi  
District Institute Of Education & Training,, Haryana  
District Institute Of Education & Training,, Himachal Pradesh  
District Institute Of Education & Training,, Manipur  
District Institute Of Education & Training,, Orissa  
District Institute Of Education & Training,, Sikkim  
District Institute Of Education & Training,, Tripura  
District Institute Of Education & Training,, Uttaranchal  
District Institute Of Education & Training (Diet),, Andhra Pradesh  
District Institute Of Education & Training (Diet),, Arunachal Pradesh  
District Institute Of Education & Training (Diet),, Bihar  
District Institute Of Education & Training (Diet),, Haryana  
District Institute Of Education & Training (Diet),, Himachal Pradesh  
District Institute Of Education & Training (Diet),, Manipur  
District Institute Of Education &Training,, Rajasthan  
District Institute Of Education And Training,, Andhra Pradesh  
District Institute Of Education And Training,, Chhattisgarh  
District Institute Of Education And Training,, Goa  
District Institute Of Education And Training,, Gujarat  
District Institute Of Education And Training,, Jharkhand  
District Institute Of Education And Training,, Karnataka  
District Institute Of Education And Training,, Kerala  
District Institute Of Education And Training,, Madhya Pradesh  
District Institute Of Education And Training,, Meghalaya  
District Institute Of Education And Training,, Pondicherry  
District Institute Of Education And Training,, Punjab  
District Institute Of Education And Training,, Tamil Nadu  
District Institute Of Education And Training,, Uttar Pradesh  
District Institute Of Education And Training Distr,, Chhattisgarh  
District Institute Of Education& Training,, Rajasthan  
District Institute Of Educational Traning,, Maharashtra  
District Institute Of Educqation And Training,, Karnataka  
District Institute Of Eduction And Training(Rural),, Karnataka  
Dit School Of Engineering, Noida  , Uttar Pradesh  
Divine Mother College, Pondicherry  , Pondicherry  
Divine Pre Primary Training Institute,, Karnataka  
Divya Chethana D Edollege,, Karnataka  
Divya College Of Education,, Andhra Pradesh  
Divya College Of Education,, Tamil Nadu  
Divya Drusti Charitable Trust,, Gujarat  
Divya Drusti Charitable Trust B Ed College,, Gujarat  
Divya Jyothi D Ed College,, Karnataka  
Divya Shiksha Gurukul College Of Education,, Punjab  
Diwaliba Ptc College Ambicakrupa Education Trust,, Gujarat  
Dm Institute Of Teachers Education,, Karnataka  
Dmi College Of Education,, Tamil Nadu  
Dmi College Of Engineering, Tiruvallur  , Tamil Nadu  
Dnyan Ganga Education Trusts College Of Edu,, Maharashtra  
Dnyanasadhana College (Arts Science And Commerce),, Maharashtra  
Dnyandan Shikshan Sanstha,, Maharashtra  
Dnyandeep Bahuddeshiya Shikshan Prasarak Mandal,, Maharashtra  
Dnyandeep Education Society,, Maharashtra  
Dnyaneshwar Gramonnati Mandals Hon.Balasaheb Jadhav Arts Commerce & Science College,, Maharashtra  
Dnyanganga College Of Education,, Maharashtra  
Dnyanganga College Of Engineering And Research, Haveli  , Maharashtra  
Dnyanganga Shikshan Prasarak Mandal,, Maharashtra  
Dnyangangecha Bhagirath Mahatma Phule Shikshan San,, Maharashtra  
Dnyanoday College Of Education,, Maharashtra  
Dnyanopasak Shikshan Mandali,, Maharashtra  
Dnyanopasak Shikshan Prasarak Mandal'S College Of Phy Edn,, Maharashtra  
Dnyanpasak Shikshan Mandals Arts Commerce And Science College,, Maharashtra  
Dnyansampada Shikshan Prasarak Mandal,, Maharashtra  
Dnyanvardhini Trusts Sonubhau Baswant College Of Arts And Co Shahapur,, Maharashtra  
Dnyanwardhini Shikshan Prasarak Mandal,, Maharashtra  
Dnyanyog Shikshan Prasarak Mandals College Of P E,, Maharashtra  
Doaba College,, Punjab  
Doaba Institute Of Engineering And Technology Diet,, Punjab  
Dodda Paneni Prameela Memorial College Of Education,, Andhra Pradesh  
Dodda Rachamma Memorial Ele Teachers Education,, Andhra Pradesh  
Doddappa Appa College Of Education,, Karnataka  
Doddappa Appa Instt.Of Mba, Gulbarga  , Karnataka  
Doeacc Centre, Gorakhpur  , Uttar Pradesh  
Doeacc Centre Maharastra, Aurangabad  , Maharashtra  
"Doeacc Centre, Calicut", Kozhikode  , Kerala  
Dolphin (Pg) Institute Of Bio Medical & Natural Sciences,, Uttaranchal  
Dolphins D Ed College,, Karnataka  
Don Bosco College, Lower Subansiri  , Arunachal Pradesh  
Don Bosco College,, Goa  
Don Bosco College, Kannur  , Kerala  
Don Bosco College Of Education,, Karnataka  
Don Bosco College Of Engineering And Technology, Guwahati  , Assam  
Don Bosco College Of Teacher Education,, Meghalaya  
"Don Bosco College, Sulthan Bathery", Wayanad  , Kerala  
Don Bosco D Ed College,, Karnataka  
Don Bosco Degree College, Hyderabad  , Andhra Pradesh  
"Don Bosco Degree College, Nalgonda", Chennoor  , Andhra Pradesh  
Don Bosco Institute Of Technology, Bangalore  , Karnataka  
Don Bosco Institute Of Technology, Kurla  , Maharashtra  
Don Bosco Institute Of Technology Science, Vaticherukura  , Andhra Pradesh  
Don Bosco Teacher Training Institute,, Pondicherry  
Don Bosco Teacher Training Institute,, Tamil Nadu  
Donyipolo Government College, West Siang  , Arunachal Pradesh  
Doom Doom College,, Assam  
Doon (Pg) College Of Agriculture Sc Tech & Edn,, Uttaranchal  
Doon College Of Education,, Uttar Pradesh  
Doon College Of Education,, Uttaranchal  
Doon College Of Education For Women,, Uttar Pradesh  
Doon College Of Engineering & Technology, Muzaffarnagar  , Uttar Pradesh  
Doon College Of Law And Education, Saharanpur  , Uttar Pradesh  
Doon Ghati College Of Professional Education,, Uttaranchal  
Doon Institute Of Education,, Uttaranchal  
Doon Institute Of Teachers Training,, Uttaranchal  
Doon International College For Educatioin,, Himachal Pradesh  
Doon Valley College Of Education,, Uttaranchal  
Doon Valley Institute Of Education,, Haryana  
Doon Valley Institute Of Engineering & Technology, Karnal  , Haryana  
Doraha College Of Education,, Punjab  
Doraha Institute Of Mgt. & Technology,, Punjab  
Doranda College,, Jharkhand  
Doying Gumin College, East Siang  , Arunachal Pradesh  
Dpc-Inst. Of Mgt. Science & Productivity Res, Delhi  , Delhi  
Dr .Mahalingam College Of Engineering & Technology, Coimbatore  , Tamil Nadu  
Dr A V Baliga College Art Science,, Karnataka  
Dr A V Baliga College Commerce,, Karnataka  
Dr Ambedkar College Education,, Karnataka  
Dr Ambedkar Degree College Arts And Commerce,, Karnataka  
Dr Ambedkar First Grade Arts College,, Karnataka  
Dr Ambedkar Institute Of Technology For Handicapped, Kanpur  , Uttar Pradesh  
Dr B K Baruah College, Nagaon  , Assam  
Dr B R Ambedkar College Art Sci Commerce, Tenali  , Andhra Pradesh  
Dr B R Ambedkar First Grade College,, Karnataka  
Dr B R Ambedkar National Institute Of Technology,, Punjab  
Dr B R Ambedkar Open University, Hyderabad  , Andhra Pradesh  
Dr B R Ambedkar University, Agra  , Uttar Pradesh  
Dr B R R Government College, Jadcherla  , Andhra Pradesh  
Dr Babasaheb Ambedkar Marathwada University, Aurangabad  , Maharashtra  
Dr Babasaheb Ambedkar Open University, Ahmedabad  , Gujarat  
Dr Babasaheb Ambedkar Technological University, Raigad  , Maharashtra  
Dr Balasaheb Sawant Konkan Krishi Vidypeeth,, Maharashtra  
Dr Bhim Rao Ambedkar University,, Uttar Pradesh  
Dr C V Raman Institute Of Technology, Bilaspur  , Chhattisgarh  
Dr Harisingh Gour Vishwavidyalaya University, Sagar  , Madhya Pradesh  
Dr J J Magdum College Of Engineering, Kolhapur  , Maharashtra  
Dr Jagnnath Mishra College,, Bihar  
Dr Jyothirmayi Degree College, Kurnool  , Andhra Pradesh  
Dr K R R M Degree College, Guntur  , Andhra Pradesh  
Dr Kn Modi Institute Of Engineering & Technology, Ghaziabad  , Uttar Pradesh  
Dr Kv Subba Reddy Institute Of Technology, Vaticherukura  , Andhra Pradesh  
Dr Lankaplli Bullayya College, Visakhapatnam  , Andhra Pradesh  
Dr Lohiya Karpoori V D College,, Bihar  
Dr M G R Educational And Research Institute, Chennai  , Tamil Nadu  
Dr Mv Shetty Institute Of Technology, Mangalore  , Karnataka  
Dr N S A M First Grade College,, Karnataka  
Dr N T R University Of Health Sciences, Vijayawada  , Andhra Pradesh  
Dr P G A S Samitis Pandit Panchaxara Gavaigalav,, Karnataka  
Dr P N Singh Degree College,, Bihar  
Dr Panjabrao Deshmukh Krishi Vidyapeeth,, Maharashtra  
Dr Paul Raj Engineering College, Bhadrachalam  , Andhra Pradesh  
Dr R M L S College,, Bihar  
Dr Ram Manohar Lohia University, Faizabad  , Uttar Pradesh  
Dr S Gopalaraju Government First Grade College,, Karnataka  
Dr S K Sinha Women'S College,, Bihar  
Dr Subhash Mahila College Education,, Gujarat  
Dr T M A Pai College Education,, Karnataka  
Dr V H Dave Homoeopathic Medical College And S I Patel Homeopathic Hos,, Gujarat  
Dr V S K Government Degree College, Visakhapatnam  , Andhra Pradesh  
Dr Y S Parmar University Of Horticulture Forestry, Solan  , Himachal Pradesh  
Dr Z H T T College,, Bihar  
Dr. A H Rizvi Degree College,, Uttar Pradesh  
Dr. A.C. Homoeopathic Medical College And Hospital,, Orissa  
Dr. Agarala Eswara Reddy Degree College, Tirupati  , Andhra Pradesh  
Dr. Akhtar Hasan Rizvi Shia Degree College,, Uttar Pradesh  
"Dr. Alm Pg Institution Of Basic Medical Sciences, Chennai", Chennai  , Tamil Nadu  
Dr. Ambedkar Arts & Science College, Kasaragod  , Kerala  
Dr. Ambedkar Arts Sc. & Commerce College,, Maharashtra  
Dr. Ambedkar B Ed College,, Rajasthan  
Dr. Ambedkar College,, Maharashtra  
Dr. Ambedkar College Of Arts & Commerce,, Maharashtra  
Dr. Ambedkar College Of Education,, Karnataka  
Dr. Ambedkar College Of Education,, Kerala  
Dr. Ambedkar College Of Law, Mumbai  , Maharashtra  
"Dr. Ambedkar College Of Law, Nagpur", Nagpur  , Maharashtra  
Dr. Ambedkar Department Of Management Studies & Research, Nagpur  , Maharashtra  
Dr. Ambedkar Government Arts College, Chennai  , Tamil Nadu  
Dr. Ambedkar Government Law College, Chennai  , Tamil Nadu  
"Dr. Ambedkar Institute Of Hotel Management, Chandigarh",, Chandigarh  
Dr. Ambedkar Institute Of Technology, Bangalore  , Karnataka  
Dr. Ambedkar Law College, Tirupati  , Andhra Pradesh  
Dr. Ambedkar Law College, Aurangabad  , Maharashtra  
Dr. Ambedkar Memorial Institute Of Information Technology,, Orissa  
Dr. Ambedkar Memorial Teacher Training Institute,, Kerala  
Dr. Ambedkar Women Teacher Training Institute,, Tamil Nadu  
Dr. Anbu Paul College Of Education,, Tamil Nadu  
Dr. Anbu Paul College Of Physical Education,, Tamil Nadu  
Dr. Anbu Paul Teacher Training Institute,, Pondicherry  
Dr. Anita Baruah Sarma College Of Education,, Assam  
Dr. Annasaheb G.D. Bendale Ladies College,, Maharashtra  
Dr. Asha Smriti Mahavidyalaya,, Uttar Pradesh  
Dr. Ayesha Jr College Of Education,, Maharashtra  
Dr. B G Patil College Of Physical Education,, Karnataka  
Dr. B R Ambedkar College,, West Bengal  
Dr. B R Ambedkar College Of Education,, Bihar  
Dr. B R Ambedkar College Of Education,, Haryana  
Dr. B R Ambedkar Education Society,, Gujarat  
Dr. B R Ambedkar Government Polytechnic, Port Blair  , Andaman And Nicobar Islands  
Dr. B R Ambedkar Memorial D Ed College,, Karnataka  
Dr. B. Ambedkar Arts And Commerce College,, Maharashtra  
Dr. B. C. Roy Engineering College, Durgapur  , West Bengal  
Dr. B. R. Ambedkar Open University,, Andhra Pradesh  
Dr. B. V. Syamala Ratnam College Of Education,, Andhra Pradesh  
Dr. B.A. Raju Inst. Of Computer Education, Bhimavaram  , Andhra Pradesh  
"Dr. B.R Ambedkar Medical College, Banglore", Bangalore  , Karnataka  
Dr. B.R. Ambedkar College,, West Bengal  
Dr. B.R. Ambedkar College Of Law, Visakhapatnam  , Andhra Pradesh  
Dr. B.R. Ambedkar Degree College, Cherkupalli  , Andhra Pradesh  
"Dr. B.R. Ambedkar Degree College, Ravulapalem", Revulapalem  , Andhra Pradesh  
Dr. B.R. Ambedkar Janamshatabdi Mahavidyalaya,, Uttar Pradesh  
Dr. B.R. Ambedkar Junior College Of Education,, Maharashtra  
Dr. B.R. Ambedkar Krishak Degree College,, Uttar Pradesh  
Dr. B.R.Ambedkar Government Girls Postgraduate Degree College,, Uttar Pradesh  
Dr. B.R.Ambedkar Institute Of Management & Technology, Hyderabad  , Andhra Pradesh  
Dr. Baba Saheb Ambedkar College Of Arts & Commerce,, Maharashtra  
Dr. Baba Saheb Ambedkar Memorial Law College, Dhule  , Maharashtra  
Dr. Baba Saheb Ambedkar National Institute Of Social Science,, Madhya Pradesh  
Dr. Babasaheb Ambedkar College Of Arts Science & Commerce,, Maharashtra  
Dr. Babasaheb Ambedkar College Of Law, Bhandara  , Maharashtra  
Dr. Babasaheb Ambedkar Commercedr.M.V.R.Shinde Arts College,, Maharashtra  
Dr. Babasaheb Ambedkar Education Society,, Maharashtra  
Dr. Babasaheb Ambedkar Khadi Gramoudyog Sanghs,, Maharashtra  
Dr. Babasaheb Ambedkar Marathwad University,, Maharashtra  
Dr. Babasaheb Ambedkar Shikshan Samsthe D Ed,, Karnataka  
Dr. Babasaheb Ambedkar Shikshana Sansthe,, Karnataka  
Dr. Babasaheb Ambedkar Vidya Vardhaka Sanghas,, Karnataka  
Dr. Babasaheb Nandurkar Sharirik Shikshan Mahavidyalaya,, Maharashtra  
Dr. Babasaheb Smarak Samiti,, Maharashtra  
Dr. Babasheb Ambedkar Education Society,, Maharashtra  
Dr. Balasaheb Ambedkar College Of Arts & Commerce,, Maharashtra  
"Dr. Bc Roy Pg Institute Of Basic Medical Sciences, Kolkata", Calcutta  , West Bengal  
Dr. Bezawada Gopal Reddy Womens Academy, Nellore  , Andhra Pradesh  
Dr. Bhagwat Sahai Smarak Government Mahavidyalaya,, Madhya Pradesh  
Dr. Bhim Rao Ambedkar Degree College,, Uttar Pradesh  
Dr. Bhim Rao Ambedkar Mahavidyalaya,, Uttar Pradesh  
Dr. Bhimrao Ambedker University,, Uttar Pradesh  
Dr. Br. Ambedkar Govt. Law College, Pondicherry  , Pondicherry  
Dr. Br. Ambedkar Law College, Dharmagarh  , Orissa  
Dr. C P Tiwari Smriti B Ed College,, Madhya Pradesh  
Dr. C V Raman College Of Education,, Chhattisgarh  
Dr. C V Raman College Of Physical Education,, Chhattisgarh  
Dr. C. L. Naidu College Of Education,, Andhra Pradesh  
Dr. C.L. Naidu Degree College, Palakonda  , Andhra Pradesh  
Dr. C.S.N. Degree & P.G College, Bhimavaram  , Andhra Pradesh  
Dr. C.V. Raman Degree College, Naidupet  , Andhra Pradesh  
"Dr. D.Y. Patial Medical College, Kolhapur", Kolhapur  , Maharashtra  
Dr. D.Y. Patil Centre For Management And Reseach, Haveli  , Maharashtra  
Dr. D.Y. Patil Institute Of Management, Pune  , Maharashtra  
Dr. D.Y. Patil Jr College,, Maharashtra  
Dr. D.Y. Patil Prastishan'S Padmashree Dr. D.Y.Patil Institute Of Engineering & Technology, Pune  , Maharashtra  
Dr. D.Y. Patil Pratishtan,, Maharashtra  
"Dr. D.Y. Patil Pratishthans Medical College, Pimpri, Pune",, Maharashtra  
Dr. D.Y.Patil Par.'S Dr. D.Y. Patil Col Of Engg, Pune  , Maharashtra  
Dr. Datar Science Dr. Behera Arts & Shri P.J. Commerce College,, Maharashtra  
Dr. David Raja & Dr Chandraleka College Of Edn,, Tamil Nadu  
Dr. Davidr.Aja Teacher Training Institute,, Karnataka  
Dr. Dharmambal Government Polytechnic College For Women, Tiruvannamalai  , Tamil Nadu  
Dr. G Dass D A V College Of Education For Women,, Haryana  
Dr. G R Damodaran College Of Education,, Tamil Nadu  
Dr. G U Pope College Of Education,, Tamil Nadu  
Dr. G.R. Damodaran College Of Science, Coimbatore  , Tamil Nadu  
Dr. Ghali College,, Maharashtra  
Dr. Ghanshyam Singh Mahavidyalaya,, Uttar Pradesh  
Dr. Gopalrao Khedkar Mahavidyalaya,, Maharashtra  
Dr. Govind Prasad Rani Devi Patel Mahavidyalaya,, Uttar Pradesh  
Dr. Gu Pope College Of Engineering, Tuticorin  , Tamil Nadu  
Dr. Gyan Prakash Educational Research Centre,, Madhya Pradesh  
Dr. H N Education D Ed College,, Karnataka  
Dr. H R Gajwani College Of Education,, Gujarat  
Dr. H.N. Sinha Arts And Commerce College,, Maharashtra  
Dr. Hagdewar Government Degree College,, Uttar Pradesh  
Dr. Harekrushna Mahatab College,, Orissa  
Dr. Hari Ram Mishra Bed College (R B S W A E S ),, Madhya Pradesh  
Dr. Harivijay Madhavrao Umekar Adhyapak Vidyalaya,, Maharashtra  
Dr. Hima Sekhara Degree College, Anakapalle  , Andhra Pradesh  
Dr. Homiahangir Bhabha Degree College, Guntur  , Andhra Pradesh  
Dr. I.T. Business School,, Punjab  
Dr. I.T. Institute Of Mgt & Tech,, Punjab  
Dr. Islam Majeed Teacehrs Trg College,, Uttar Pradesh  
Dr. Islam Majid Degree College,, Uttar Pradesh  
Dr. Jayapradamba Degree College, Guntur  , Andhra Pradesh  
Dr. Jyothirmayee Degree College, Kurnool  , Andhra Pradesh  
Dr. K. K. R. S. Gowtham College Of Education,, Andhra Pradesh  
Dr. K. V. S. R. Hindi Pandits Training College,, Andhra Pradesh  
Dr. K.V.R. Sanskrit College, Guntur  , Andhra Pradesh  
Dr. K.V.R.D & Smt. G.J.V.R.S. Degree College, East Godavari  , Andhra Pradesh  
Dr. Kailashnath Katju Vidhi Mahavidyalaya,, Madhya Pradesh  
Dr. Kalaikannan College Of Education For Women,, Pondicherry  
Dr. Kanailal Bhattacharyya College,, West Bengal  
Dr. Keshavram Baliram Hedagewar T T College,, Rajasthan  
Dr. Kodela Siva Prasada Rao College Of Education,, Andhra Pradesh  
Dr. Kunchala Rajarathnam Christian College Of Education,, Andhra Pradesh  
Dr. Kunchala Rajaratnam Christian Degree College, Chitoor  , Andhra Pradesh  
Dr. L. Bullaiah College Of Education,, Andhra Pradesh  
Dr. M G R Ednl & Research Institute,, Tamil Nadu  
Dr. M S Udayamurthy Teacher Training Institute,, Tamil Nadu  
Dr. M. R. Reddy College Of Education,, Andhra Pradesh  
Dr. M.G.R. Chockalingam Arts College, Tiruvannamalai  , Tamil Nadu  
Dr. M.G.R. Janaki College Of Arts And Science For Women, Chennai  , Tamil Nadu  
Dr. M.G.R. Polytechnic College, Tiruvannamalai  , Tamil Nadu  
Dr. M.K.. Umathe Arts & Ramchandrarao Mokhare Comm,, Maharashtra  
Dr. Maddi Gopala Krishna Reddy Degree College, Ramachandrapuram  , Andhra Pradesh  
Dr. Mc Saxena College Of Engineering & Technology, Lucknow  , Uttar Pradesh  
Dr. Meenakshi College Of Teacher Education,, Tamil Nadu  
Dr. Melkote Memorial Womens College, Hyderabad  , Andhra Pradesh  
Dr. Moonje Institute For Management & Computer Studies, Nashik  , Maharashtra  
